station_name,date,y_true,y_pred,y_prob,fold,threshold,category,window_max_chl
01,2015-06-18,0,1,0.6529882796910479,2015,0.5,genuine_low,6.177341935483871
01,2015-07-07,0,1,0.7984852974814675,2015,0.5,genuine_low,5.745148484848485
01,2015-07-20,0,1,0.8280228717090479,2015,0.5,genuine_low,2.962039393939394
01,2015-08-17,0,1,0.6904488492635027,2015,0.5,genuine_low,3.4789041095890414
01,2015-09-01,0,1,0.6778557445967011,2015,0.5,genuine_low,1.5931253731343284
01,2016-08-03,0,1,0.6191288457116455,2016,0.5,genuine_low,2.6608208333333336
01,2016-08-18,0,1,0.766285639841891,2016,0.5,genuine_low,6.796386111111112
01,2016-08-30,0,1,0.6804270272241832,2016,0.5,genuine_low,3.2839121621621623
01,2017-07-18,0,1,0.7168323624475391,2017,0.5,genuine_low,3.369291338582677
01,2018-07-05,0,1,0.6918448819383228,2018,0.6500000000000001,genuine_low,7.605267175572519
01,2018-07-16,0,0,0.6016631052144956,2018,0.6500000000000001,genuine_low,4.367863247863248
01,2018-08-02,0,0,0.6418304342719107,2018,0.6500000000000001,genuine_low,2.212
01,2018-08-15,0,1,0.7072318827780482,2018,0.6500000000000001,genuine_low,6.795408163265306
01,2018-08-27,0,1,0.7092431225595289,2018,0.6500000000000001,genuine_low,1.7883486238532111
01,2019-07-15,0,1,0.6828011020169628,2019,0.6500000000000001,genuine_low,6.487218045112781
01,2019-07-30,0,1,0.7717143336074179,2019,0.6500000000000001,genuine_low,5.351111111111111
01,2019-08-28,0,1,0.7340020236120575,2019,0.6500000000000001,genuine_low,5.283666666666666
01,2021-08-31,0,1,0.7371785530025045,2021,0.7000000000000002,genuine_low,5.248488372093023
01,2022-07-19,0,0,0.6567549022888179,2022,0.7000000000000002,genuine_low,5.409270072992701
02,2015-06-18,0,1,0.6052042059019512,2015,0.5,genuine_low,6.354408450704225
02,2015-07-07,0,1,0.760279270049171,2015,0.5,genuine_low,3.4548276315789472
02,2015-07-20,0,1,0.8431825470436922,2015,0.5,genuine_low,5.704483783783783
02,2015-08-04,0,1,0.6543074695794183,2015,0.5,genuine_low,5.831532894736842
02,2015-08-17,0,1,0.7494965589789315,2015,0.5,genuine_low,4.725589743589744
02,2015-09-01,0,1,0.6884286573056136,2015,0.5,genuine_low,1.574525352112676
02,2016-07-19,0,1,0.6538647369570864,2016,0.5,genuine_low,5.418805555555555
02,2016-08-03,0,1,0.6582379845495892,2016,0.5,genuine_low,4.6494459459459465
02,2016-08-18,0,1,0.7830050060923957,2016,0.5,genuine_low,5.4629
02,2016-08-30,0,1,0.7729075403373074,2016,0.5,genuine_low,3.866145569620253
02,2017-07-18,0,1,0.6973372453269567,2017,0.5,genuine_low,6.646721311475409
02,2017-08-01,0,1,0.6673620842698923,2017,0.5,genuine_low,6.502585034013605
02,2018-07-16,0,1,0.7026875168716047,2018,0.6500000000000001,genuine_low,6.017289719626168
02,2018-08-02,0,1,0.6680780003956386,2018,0.6500000000000001,genuine_low,3.5566141732283465
02,2018-08-27,0,1,0.6913238882969522,2018,0.6500000000000001,genuine_low,1.803148148148148
02,2019-07-15,0,1,0.7295829751803269,2019,0.6500000000000001,genuine_low,4.729015151515152
02,2019-07-30,0,1,0.7526644244914532,2019,0.6500000000000001,genuine_low,4.091496062992126
02,2019-08-28,0,1,0.7585015392415595,2019,0.6500000000000001,genuine_low,7.131818181818182
02,2021-07-19,0,0,0.6663018213655025,2021,0.7000000000000002,genuine_low,7.165323741007194
02,2021-08-31,0,1,0.7719293892793815,2021,0.7000000000000002,genuine_low,6.9575000000000005
02,2022-07-19,0,0,0.6323197840241214,2022,0.7000000000000002,genuine_low,7.928684210526316
02,2022-08-02,0,0,0.6290397395169365,2022,0.7000000000000002,genuine_low,7.065069444444444
02,2024-07-02,0,0,0.6233499176092984,2024,0.6500000000000001,genuine_low,6.588796992481202
03,2015-07-07,0,1,0.6070118576639549,2015,0.5,genuine_low,3.059003
03,2015-07-20,0,1,0.6750258367448053,2015,0.5,genuine_low,2.030348598130841
04,2015-06-19,0,1,0.6583959064173367,2015,0.5,genuine_low,6.12752105263158
04,2015-07-07,0,1,0.8261969928707994,2015,0.5,genuine_low,4.29356
04,2015-07-20,0,1,0.8072740502406218,2015,0.5,genuine_low,7.19473275862069
04,2015-08-04,0,1,0.6597893823951727,2015,0.5,genuine_low,3.7417048387096776
04,2015-08-17,0,1,0.7455795800588348,2015,0.5,genuine_low,3.3318622950819674
04,2016-07-19,0,1,0.6502106523079191,2016,0.5,genuine_low,3.211205172413793
04,2016-08-03,0,1,0.7187012991568577,2016,0.5,genuine_low,2.6583050847457628
04,2016-08-18,0,1,0.7265936034911932,2016,0.5,genuine_low,6.323474509803922
04,2016-08-30,0,1,0.7506949691148741,2016,0.5,genuine_low,3.421346875
04,2017-08-15,0,1,0.782656865183966,2017,0.5,genuine_low,4.862755102040817
04,2018-07-05,0,1,0.7599178484415312,2018,0.6500000000000001,genuine_low,4.689173553719008
